index,num_stats,combo,k,inertia,Kyle Korver,Ray Allen,JJ Redick,Danny Green,Chris Paul,Steve Nash,Rajon Rondo,Deron Williams,Tony Parker,Ricky Rubio,Jason Kidd,Dwight Howard,Shaquille O'Neal,Tyson Chandler,DeAndre Jordan,Blake Griffin,Serge Ibaka,JaVale McGee,LeBron James,James Harden,Russell Westbrook,Luka Doncic,Dwyane Wade,Anthony Davis,Kobe Bryant,Kevin Durant,Damian Lillard,Kyrie Irving,Kawhi Leonard,Giannis Antetokounmpo,Dirk Nowitzki,Tim Duncan,Nikola Vucevic,Nikola Jokic
19,10,"['AST', 'BLK', 'DREB', 'FG3A', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",6,3981.3911556101025,5,5,5,5,2,2,2,3,3,2,2,0,0,4,0,0,4,0,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0
20,10,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'REB', 'STL']",6,3858.5850037639643,5,5,5,5,2,2,2,3,3,2,2,0,0,4,4,0,4,0,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0
21,10,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,3853.747562777195,0,5,5,0,6,1,1,6,6,1,1,3,3,2,3,3,2,3,6,6,6,6,6,3,6,6,6,6,6,6,5,3,3,3
22,10,"['AST', 'BLK', 'DREB', 'FG3M', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,3679.1143517471082,4,4,4,4,3,3,0,3,3,0,0,5,5,1,5,5,1,5,3,3,3,3,3,5,3,3,3,3,3,5,2,5,5,5
23,10,"['AST', 'BLK', 'FG3M', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",6,3973.5484722761566,3,3,4,3,2,1,1,2,2,1,1,5,5,0,5,5,0,5,2,2,2,2,2,5,2,2,2,2,2,2,4,5,5,5
24,10,"['AST', 'BLK', 'DREB', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",6,4119.998236134763,4,4,2,4,3,0,0,3,3,0,0,5,5,1,5,5,1,5,3,3,3,3,3,5,3,3,3,3,3,5,2,5,5,5
25,10,"['AST', 'BLK', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'REB', 'STL']",6,4005.034625241209,4,4,2,4,3,0,0,3,3,0,0,5,5,1,5,5,1,5,3,3,3,3,3,5,3,3,3,3,3,3,2,5,5,5
26,11,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGA', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,3971.6486673740974,5,5,4,5,2,1,1,2,2,1,1,6,6,0,0,6,0,6,2,2,2,2,2,6,2,2,2,2,2,6,4,6,6,6
27,11,"['AST', 'BLK', 'DREB', 'FG3A', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,4170.047932871877,0,0,5,0,6,1,1,6,6,1,1,3,3,4,4,3,4,3,6,6,6,6,6,3,6,6,6,6,6,3,5,3,3,3
28,11,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'REB', 'STL']",7,4039.819690916121,0,0,4,0,1,1,2,1,1,2,2,3,3,6,6,3,6,3,1,1,1,1,1,3,1,1,1,1,1,3,4,3,3,3
29,11,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,4251.960661694908,2,0,0,2,5,3,3,5,5,3,3,6,6,4,4,5,6,6,5,5,5,5,5,6,5,5,5,5,5,5,0,6,6,6
30,11,"['AST', 'BLK', 'DREB', 'FG3M', 'FGA', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,4080.5221603399577,0,0,4,0,1,1,2,1,1,2,2,3,3,5,5,3,5,3,1,1,1,1,1,3,1,1,1,1,1,3,4,3,3,3
31,11,"['AST', 'BLK', 'FG3M', 'FGA', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",6,4403.286322127125,4,2,2,4,3,0,0,3,3,0,0,5,5,1,1,3,1,5,3,3,3,3,3,5,3,3,3,3,3,3,2,5,5,5
32,11,"['AST', 'BLK', 'DREB', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",6,4566.599234312063,4,2,2,4,3,1,1,3,3,1,1,5,5,0,0,5,0,5,3,3,3,3,3,5,3,3,3,3,3,5,2,5,5,5
33,11,"['AST', 'BLK', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'REB', 'STL']",6,4450.819882716047,0,2,2,0,1,4,4,1,1,4,4,5,5,3,3,5,3,5,1,1,1,1,1,5,1,1,1,1,1,1,2,5,5,5
34,11,"['AST', 'BLK', 'DREB', 'FG3A', 'FG3M', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",6,4200.047296606697,5,5,5,5,3,2,2,3,3,2,2,0,0,4,0,0,4,0,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0
35,11,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,4082.4857378937313,6,2,2,6,3,0,0,3,3,0,0,5,5,1,5,5,1,5,3,3,3,3,3,5,3,3,3,3,3,3,2,5,5,5
36,11,"['AST', 'BLK', 'DREB', 'FG3A', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,4264.834192065626,6,2,2,6,3,0,0,3,3,0,0,5,5,1,5,5,1,5,3,3,3,3,3,5,3,3,3,3,3,3,2,5,5,5
37,11,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'REB', 'STL']",7,4141.187960357087,4,4,4,4,6,3,3,6,6,3,3,5,5,0,5,5,0,5,6,6,6,6,6,5,6,6,6,6,6,6,2,5,5,5
38,11,"['AST', 'BLK', 'DREB', 'FG3M', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,4155.415476915637,3,3,4,3,2,1,1,2,2,1,1,6,6,5,6,6,5,6,2,2,2,2,2,6,2,2,2,2,2,2,4,6,6,6
39,12,"['AST', 'BLK', 'DREB', 'FG3A', 'FG3M', 'FGA', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",6,4642.896013828252,4,4,4,4,3,1,1,3,3,1,1,5,5,0,0,5,0,5,3,3,3,3,3,5,3,3,3,3,3,5,3,5,5,5
40,12,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGA', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,4482.900747247686,5,4,4,5,2,1,1,2,2,1,1,6,6,0,0,2,0,6,2,2,2,2,2,6,2,2,2,2,2,2,4,6,6,6
41,12,"['AST', 'BLK', 'DREB', 'FG3A', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,4668.955044320083,5,6,6,6,0,1,1,0,0,1,1,3,3,4,4,3,4,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,3
42,12,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'REB', 'STL']",7,4542.8373105534265,5,6,6,6,0,1,1,0,0,1,1,3,3,4,4,3,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3
43,12,"['AST', 'BLK', 'DREB', 'FG3M', 'FGA', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,4576.127321050389,5,0,0,5,2,4,4,2,2,4,4,3,3,1,1,3,1,3,2,2,2,2,2,3,2,2,2,2,2,2,0,3,3,3
44,12,"['AST', 'BLK', 'DREB', 'FG3A', 'FG3M', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",6,4724.060253851321,5,5,5,5,2,2,2,3,3,2,2,0,0,4,0,0,4,0,3,3,3,3,3,0,3,3,3,3,3,0,3,0,0,0
45,13,"['AST', 'BLK', 'DREB', 'FG3A', 'FG3M', 'FGA', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",7,4889.6765579748435,0,2,2,0,6,1,1,6,6,1,1,5,5,3,3,5,3,5,6,6,6,6,6,5,6,6,6,6,6,5,2,5,5,5
