PLAYER_NAME,ID,MIN,SEASONS,AST_PER_MIN,FG3A_PER_MIN,FGA_PER_MIN,FTA_PER_MIN,PTS_PER_MIN,REB_PER_MIN,group,ind,n1,n2,n3,origin,d1,d2,d3,id1,id2,id3
Grant Hill,255,27.83951882845188,4,0.07905441303225526,0.03877573871163851,0.31215972598477976,0.09633817253550497,0.3847515158984286,0.15074444158051714,0,0,795,185,866,0.0,0.43327499157362154,0.650940739720401,0.7112867040997544,1627820,2754,1628439
Shaquille O'Neal,406,22.043464419475654,2,0.054030129442937475,0.0005097182022918629,0.33182654969200276,0.17993052540902763,0.4898391924024803,0.26862149260781176,4,1,111,209,348,0.0,0.9892225040410909,1.0047933967551688,1.0125250412596387,2403,101124,201593
Juwan Howard,436,14.932858585858586,4,0.04058570584968543,0.0004058570584968543,0.23296195157719438,0.047079418785635097,0.2593426603794899,0.2077988139503894,3,2,446,25,477,0.0,0.5435277164579624,0.6047767937387369,0.6279927907467342,202345,1499,202686
Jason Kidd,467,31.532108362779738,4,0.21000524452798505,0.15106033597850793,0.21751343630139752,0.028239766073133526,0.2464255777572247,0.14736227137369282,1,3,156,95,36,0.0,1.138512628510741,1.220474551504192,1.2721208877154302,2581,2224,1715
Antonio McDyess,686,20.023888888888887,2,0.05560025525067281,0.0009988069805510085,0.25702632966179284,0.04461337846461171,0.27833421191354774,0.2829953111561191,3,4,511,264,214,0.0,0.25930445167528154,0.4239737118303529,0.6051535208349919,202730,200777,101130
Theo Ratliff,689,14.858954802259886,2,0.03193873845785323,0.0,0.1802257384407432,0.05931479999315599,0.2053204615147707,0.19391376920839457,3,5,72,367,116,0.0,0.10806142456862033,0.47634231610777655,0.497131721102466,2046,201880,2408
Kurt Thomas,703,15.992344236760125,4,0.05084208419429662,0.000584391772348237,0.18525219183439115,0.023375670893929484,0.19810881082605236,0.253918225085309,3,6,309,25,367,0.0,0.6777316111819779,0.7832559339722247,0.8315898809005603,201187,1499,201880
Kevin Garnett,708,26.493791973791975,7,0.08448504617773947,0.004265984768579601,0.3707697196691574,0.08726721015724791,0.4445898039254479,0.27636162196450453,4,7,897,218,756,0.0,0.8039094758788161,0.8285169837675261,0.8569491213091001,1628976,101135,1627734
Jerry Stackhouse,711,14.834008620689655,4,0.07089952317164949,0.15167848809672557,0.3486861795327024,0.07089952317164949,0.38355479748597265,0.09472641210638416,0,8,783,130,600,0.0,0.3340610102893219,0.44450790591378664,0.45205374154206907,1627782,2484,203484
Michael Finley,714,15.414021739130433,1,0.06064495201291879,0.1156485131409149,0.2595039807064432,0.021155215818460044,0.2848902396885953,0.10013468820737755,0,9,640,146,615,0.0,0.41635033116052894,0.5047775704569945,0.5392853486962799,203710,2562,203503
Rasheed Wallace,739,20.764216666666666,2,0.041417406387430945,0.17289359178008962,0.3814254169633175,0.06983167356020334,0.4122476728795452,0.19649188146595145,0,10,792,216,192,0.0,0.5187474957513013,0.5590824984497492,0.6372133408392341,1627814,101132,2804
Allen Iverson,947,30.868690476190473,1,0.1307381111235379,0.02892436086803936,0.3656039213720175,0.15156365094852625,0.4454351573678061,0.09140098034300438,2,11,291,312,517,0.0,0.6328934684786957,0.9225534712065281,1.3049393028809835,201155,201196,202809
Marcus Camby,948,25.20688372093023,4,0.0786053274483899,0.002398754124011898,0.20703093285702687,0.050373836604249864,0.21238199974905345,0.3825090230058973,3,12,59,682,311,0.0,0.7705194681879484,0.9578193463930027,1.1748092288919878,1902,203961,201189
Ray Allen,951,31.41072625698324,5,0.07256532657954085,0.14690921508505084,0.32352041433378625,0.0757667380462853,0.4307676984697253,0.0970205530616165,0,13,654,418,294,0.0,0.4481625736800444,0.4686071420224816,0.49117623937577326,203914,202083,201158
Erick Dampier,956,18.00194214876033,3,0.026167975448011804,0.0018363491542464426,0.14231705945409928,0.06656765684143354,0.21026197816121767,0.2763705477140896,3,14,402,307,369,0.0,0.6109077392987212,0.6490506042800562,0.676309898165972,201972,201181,201934
Steve Nash,959,32.004528857479386,5,0.3124557791346153,0.08733304639416278,0.3223925353615112,0.0834687523059255,0.43600278155568756,0.09771143623114294,1,15,256,372,49,0.0,1.5884530086194548,1.8039971322449666,1.88468418750647,200765,201937,1884
Derek Fisher,965,23.562609970674487,5,0.09446349340684643,0.09969072229101976,0.24356397443636163,0.05115216836655321,0.26422397431190375,0.07492361400648426,0,16,28,415,780,0.0,0.48650802189851394,0.6378099313817908,0.6931534534421437,1515,202066,1627775
Kobe Bryant,977,35.44298994974874,7,0.13504594752277527,0.14305654703462492,0.5698159192588281,0.19452287664172985,0.6963550354415861,0.14376544964629304,2,17,718,278,134,0.0,1.2466389440780625,1.340785016187216,1.3719926916300573,1626164,201142,2546
Peja Stojakovic,978,27.1893085106383,2,0.047343390217134,0.1905473639317707,0.357227398911102,0.051647334782328,0.41513501669734854,0.11816284169896255,0,18,530,394,758,0.0,0.43337133950452505,0.506470961297963,0.5582079890806492,203082,201961,1627736
Jermaine O'Neal,979,22.4960626911315,5,0.03690757981773909,0.0006117278422829684,0.32482748425225616,0.11133446729550023,0.4092459264873058,0.25366314526667083,4,19,318,335,575,0.0,0.22040190904493923,0.4133473165170774,0.4310601098997932,201274,201579,203156
Zydrunas Ilgauskas,980,18.237135802469137,2,0.029650529918603202,0.009748119425294204,0.3042225603977233,0.05970723147992699,0.33631012017265005,0.25426344834309045,3,20,438,42,760,0.0,0.5790212831139298,0.6468523934047915,0.6684832334464555,202336,1737,1627738
Chucky Atkins,1088,16.094916666666666,1,0.14134897664376433,0.11338983840653623,0.24386581684693406,0.04193870735584217,0.25007895867742924,0.045045278271089735,1,21,232,138,625,0.0,0.5886651303487015,0.8176323737208256,0.9341306422984744,101179,2550,203521
